Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,CrdY,CrdR,2CrdY,Goals,Shots,SoT,Assists
406,Adrián Butzke,ESP,FW,Granada,La Liga,23,1999,1,0,0,0,0,0,0,0
407,Marcin Bu?ka,POL,GK,Nice,Ligue 1,22,1999,1,0,0,0,0,0,0,0
408,Jamie Bynoe-Gittens,ENG,FW,Dortmund,Bundesliga,17,2004,4,0,0,0,0,0.67,0.67,0
409,Sam Byram,ENG,DF,Norwich City,Premier League,28,1993,15,0.26,0,0,0,0.61,0.09,0
410,Erick Cabaco,URU,DF,Getafe,La Liga,27,1995,10,0.89,0.22,0.22,0,0.44,0,0.22
411,Willy Caballero,ARG,GK,Southampton,Premier League,40,1981,2,0.5,0,0,0,0,0,0
412,Rémy Cabella,FRA,MFFW,Montpellier,Ligue 1,32,1990,5,0,0,0,0,0.57,0,0
413,Jimmy Cabot,FRA,DF,Angers,Ligue 1,28,1994,24,0.18,0,0,0,0.49,0.13,0.22
414,Jovane Cabral,CPV,FW,Lazio,Serie A,23,1998,3,0,0,0,0.48,2.86,0.48,0
415,Leandro Cabrera,URU,DF,Espanyol,La Liga,30,1991,37,0.19,0,0,0.05,0.46,0.16,0
416,Liberato Cacace,NZL,DF,Empoli,Serie A,21,2000,10,0.19,0,0,0,0.19,0,0
417,Martín Cáceres,URU,DF,Cagliari,Serie A,35,1987,14,0.33,0.11,0,0.11,0.76,0.11,0.11
418,Martín Cáceres,URU,DF,Levante,La Liga,35,1987,10,0.27,0,0,0,0,0,0
419,Anthony Caci,FRA,DF,Strasbourg,Ligue 1,24,1997,37,0.15,0,0,0.04,0.56,0.19,0.11
420,Mathieu Cafaro,FRA,FWMF,Reims,Ligue 1,25,1997,4,0.95,0,0,0,2.86,1.43,0
421,Yannick Cahuzac,FRA,MF,Lens,Ligue 1,37,1985,17,0.14,0.14,0,0,0.14,0,0
422,Felipe Caicedo,ECU,FW,Genoa,Serie A,33,1988,9,0.31,0,0,0.31,3.75,0.94,0.63
423,Felipe Caicedo,ECU,FW,Inter,Serie A,33,1988,3,0,0,0,0,0,0,0
424,Moisés Caicedo,ECU,MF,Brighton,Premier League,20,2001,8,0.27,0,0,0.14,1.37,0.55,0.14
425,Marc-Aurèle Caillard,FRA,GK,Metz,Ligue 1,28,1994,19,0.06,0,0,0,0,0,0
426,Jens Cajuste,SWE,MF,Reims,Ligue 1,22,1999,8,0,0,0,0.5,2,1.25,0
427,Cala,ESP,DF,Cádiz,La Liga,32,1989,14,0.76,0.1,0.1,0,0.48,0,0
428,Davide Calabria,ITA,DF,Milan,Serie A,25,1996,26,0.09,0,0,0.09,1.53,0.34,0.09
429,Riccardo Calafiori,ITA,DF,Genoa,Serie A,20,2002,3,1.11,0,0,0,1.11,0,0
430,Riccardo Calafiori,ITA,DF,Roma,Serie A,20,2002,6,1.05,0,0,0,0,0,0.53
431,Mattia Caldara,ITA,DF,Venezia,Serie A,28,1994,31,0.3,0,0,0.03,0.53,0.23,0
432,Calderón,ESP,DF,Betis,La Liga,22,2000,1,0,0,0,0,0,0,0
433,Fernando Calero,ESP,DF,Espanyol,La Liga,26,1995,16,0.25,0,0,0,0.08,0,0
434,Duje ?aleta-Car,CRO,DF,Marseille,Ligue 1,25,1996,26,0.26,0,0,0.09,0.52,0.17,0
435,Hakan Çalhanoðlu,TUR,MF,Inter,Serie A,28,1994,34,0.4,0,0,0.25,2.28,0.54,0.43
436,Daniel Caligiuri,ITA,DFMF,Augsburg,Bundesliga,34,1988,28,0.18,0,0,0.18,1.52,0.49,0.09
437,José Callejón,ESP,FW,Fiorentina,Serie A,35,1987,30,0,0,0,0.07,1.18,0.42,0.14
438,Lucas Calodat,FRA,DF,Saint-Étienne,Ligue 1,20,2002,1,0,0,0,0,0,0,0
439,Dominic Calvert-Lewin,ENG,FW,Everton,Premier League,25,1997,17,0.14,0,0,0.35,2.1,0.77,0.14
440,Mahdi Camara,FRA,MFDF,Saint-Étienne,Ligue 1,23,1998,35,0.23,0,0,0.09,0.85,0.44,0
441,Mamadou Camara,FRA,FW,Troyes,Ligue 1,21,2001,3,0,0,0,0,2.5,2.5,0
442,Víctor Camarasa,ESP,MFFW,Betis,La Liga,28,1994,7,0,0,0,0,0.83,0,0
443,Eduardo Camavinga,FRA,MF,Rennes,Ligue 1,19,2002,4,0,0,0,0,0,0,0
444,Eduardo Camavinga,FRA,MF,Real Madrid,La Liga,19,2002,25,0.61,0,0,0.15,0.91,0.38,0.08
445,Andrea Cambiaso,ITA,DF,Genoa,Serie A,22,2000,26,0.25,0.05,0.05,0.05,0.65,0.25,0.2
446,José Campaña,ESP,MF,Levante,La Liga,28,1993,20,0.38,0.06,0,0.13,0.76,0.32,0.13
447,Chem Campbell,WAL,MF,Wolves,Premier League,19,2002,1,0,0,0,0,0,0,0
448,Emre Can,GER,DFMF,Dortmund,Bundesliga,28,1994,24,0.27,0,0,0.27,0.32,0.11,0.05
449,Sergio Canales,ESP,FWMF,Betis,La Liga,31,1991,34,0.19,0,0,0.16,1.77,0.74,0.26
450,Matteo Cancellieri,ITA,MFDF,Hellas Verona,Serie A,20,2002,12,0.4,0,0,0.4,1.6,0.4,0
451,João Cancelo,POR,DF,Manchester City,Premier League,28,1994,36,0.19,0,0,0.03,2.26,0.64,0.19
452,Fali Candé,GNB,DF,Metz,Ligue 1,24,1998,11,0.19,0,0,0,0.56,0.19,0.19
453,Antonio Candreva,ITA,MFFW,Sampdoria,Serie A,35,1987,36,0.17,0.03,0,0.2,2.07,0.58,0.29
454,Sergi Canós,ESP,DF,Brentford,Premier League,25,1997,31,0.35,0.04,0.04,0.13,1.43,0.52,0.09
455,Álex Cantero,ESP,FWMF,Levante,La Liga,21,2000,25,0.15,0,0,0,2.35,0.74,0.15
456,Todd Cantwell,ENG,FWMF,Norwich City,Premier League,24,1998,8,0.41,0,0,0,0.82,0,0
457,Ander Capa,ESP,DF,Athletic Club,La Liga,30,1992,1,0,0,0,0,1,0,0
458,Pierrick Capelle,FRA,MFDF,Angers,Ligue 1,35,1987,30,0.08,0,0,0,1.28,0.08,0.08
459,Leonardo Capezzi,ITA,MF,Salernitana,Serie A,27,1995,5,0,0,0,0,0,0,0
460,Étienne Capoue,FRA,MF,Villarreal,La Liga,33,1988,30,0.35,0,0,0.04,0.55,0.2,0.04
461,Gianluca Caprari,ITA,FWMF,Hellas Verona,Serie A,28,1993,35,0.13,0,0,0.39,2.14,0.86,0.23
462,Francesco Caputo,ITA,FW,Sassuolo,Serie A,34,1987,2,0.59,0,0,0,2.35,0,0.59
463,Francesco Caputo,ITA,FW,Sampdoria,Serie A,34,1987,36,0,0,0,0.35,1.74,0.9,0.1
464,Maxence Caqueret,FRA,MF,Lyon,Ligue 1,22,2000,31,0.19,0,0,0,0.58,0.08,0
465,Andrea Carboni,ITA,DF,Cagliari,Serie A,21,2001,30,0.24,0,0,0,0.41,0,0
466,Isaac Carcelen,ESP,DFMF,Cádiz,La Liga,29,1993,25,0.12,0,0,0,0.7,0.23,0.06
467,Cárdenas,ESP,GK,Levante,La Liga,25,1997,24,0.13,0,0,0,0,0,0
468,Irvin Cardona,FRA,FWMF,Brest,Ligue 1,24,1997,32,0.14,0,0,0.27,1.89,0.81,0.14
469,Igor Carioca,BRA,DF,Lorient,Ligue 1,25,1996,28,0.17,0,0,0,0.8,0.34,0
470,Carlo,ESP,MF,Villarreal,La Liga,21,2001,1,0,0,0,0,0,0,0
471,Diego Carlos,BRA,DF,Sevilla,La Liga,29,1993,34,0.12,0.03,0.03,0.09,0.88,0.3,0
472,Carmona,ESP,DF,Sevilla,La Liga,20,2002,1,0,0,0,0,0,0,0
473,Yannick Carrasco,BEL,DFMF,Atlético Madrid,La Liga,28,1993,34,0.17,0,0,0.21,1.71,0.35,0.21
474,Guido Carrillo,ARG,FW,Elche,La Liga,31,1991,29,0.23,0,0,0.15,1.85,0.77,0
475,Dani Carvajal,ESP,DF,Real Madrid,La Liga,30,1992,24,0.06,0,0,0.06,0.58,0.12,0.17
476,William Carvalho,POR,MF,Betis,La Liga,30,1992,33,0.3,0,0,0.1,1.64,0.5,0.15
477,Nicolò Casale,ITA,DF,Hellas Verona,Serie A,24,1998,36,0.35,0,0,0,0.38,0,0.03
478,Casemiro,BRA,MF,Real Madrid,La Liga,30,1992,32,0.39,0,0,0.04,1.44,0.32,0.11
479,Matty Cash,POL,DF,Aston Villa,Premier League,24,1997,38,0.21,0,0,0.11,0.96,0.35,0.08
480,Kiko Casilla,ESP,GK,Elche,La Liga,35,1986,14,0.21,0,0,0,0,0,0
481,Moreto Cassamã,GNB,MF,Reims,Ligue 1,24,1998,17,0.11,0,0,0.22,1.24,0.79,0
482,Francesco Cassata,ITA,MF,Genoa,Serie A,24,1997,1,0,0,0,0,0,0,0
483,Timothy Castagne,BEL,DF,Leicester City,Premier League,26,1995,27,0.04,0,0,0.04,0.3,0.13,0
484,Koen Casteels,BEL,GK,Wolfsburg,Bundesliga,29,1992,28,0.04,0,0,0,0,0,0
485,Jean-Charles Castelletto,CMR,DF,Nantes,Ligue 1,27,1995,28,0.29,0,0,0.04,0.57,0.14,0
486,Samu Castillejo,ESP,FWMF,Milan,Serie A,27,1995,5,0.71,0,0,0,1.43,0,0
487,Gonzalo Castro,GER,MFFW,Arminia,Bundesliga,34,1987,12,0,0,0,0.21,1.67,0.42,0.21
488,Jonny Castro,ESP,DF,Wolves,Premier League,28,1994,13,0.09,0,0,0.18,0.88,0.44,0
489,Gaetano Castrovilli,ITA,MF,Fiorentina,Serie A,25,1997,23,0.26,0,0,0.06,1.03,0.13,0.06
490,Danilo Cataldi,ITA,MF,Lazio,Serie A,27,1994,32,0.42,0,0,0.05,0.63,0.21,0.11
491,Catena,ESP,DF,Rayo Vallecano,La Liga,27,1994,36,0.22,0,0,0.06,0.61,0.17,0.06
492,Craig Cathcart,NIR,DF,Watford,Premier League,33,1989,31,0.11,0,0,0,0.11,0,0.04
493,Edinson Cavani,URU,FW,Manchester Utd,Premier League,35,1987,15,0,0,0,0.24,2.12,0.71,0.12
494,Dani Ceballos,ESP,MF,Real Madrid,La Liga,25,1996,11,0.32,0,0,0,3.23,0.97,0
495,Pietro Ceccaroni,ITA,DF,Venezia,Serie A,26,1995,35,0.2,0.03,0,0.06,0.55,0.17,0.03
496,Federico Ceccherini,ITA,DF,Hellas Verona,Serie A,30,1992,34,0.46,0.04,0.04,0.04,0.42,0.08,0
497,Emil Ceide,NOR,FWDF,Sassuolo,Serie A,20,2001,6,0,0,0,0,0,0,0
498,Zeki Çelik,TUR,DF,Lille,Ligue 1,25,1997,32,0.33,0,0,0.07,0.77,0.1,0.1
499,Fabien Centonze,FRA,DF,Metz,Ligue 1,26,1996,19,0.17,0,0,0.23,0.85,0.4,0.06
500,Luca Ceppitelli,ITA,DF,Cagliari,Serie A,32,1989,24,0.19,0,0,0.06,0.43,0.06,0.06
