Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,CrdY,CrdR,2CrdY,Goals,Shots,SoT,Assists
371,Iker Bravo,ESP,FW,Leverkusen,Bundesliga,17,2005,1,0,0,0,0,0,0,0
372,Fabian Bredlow,GER,GK,Stuttgart,Bundesliga,27,1995,4,0,0,0,0,0,0,0
373,Josip Brekalo,CRO,MF,Wolfsburg,Bundesliga,23,1998,1,0,0,0,0,0,0,5
374,Josip Brekalo,CRO,FWMF,Torino,Serie A,23,1998,32,0.04,0,0,0.28,1.73,0.67,0.08
375,Gleison Bremer,BRA,DF,Torino,Serie A,25,1997,33,0.22,0,0,0.09,0.87,0.31,0.03
376,Jimmy Briand,FRA,FWMF,Bordeaux,Ligue 1,36,1985,17,0.4,0,0,0.8,3.2,0.8,0.4
377,Yan Brice Eteki,CMR,MF,Granada,La Liga,24,1997,12,0.79,0,0,0,0.53,0,0
378,Brian Brobbey,NED,FW,RB Leipzig,Bundesliga,20,2002,9,0,0,0,0,2.67,0,1.33
379,Armando Broja,ALB,FW,Southampton,Premier League,20,2001,32,0.09,0,0,0.27,2.19,0.87,0
380,Dylan Bronn,TUN,DF,Metz,Ligue 1,26,1995,30,0.35,0.04,0.04,0.04,0.53,0.25,0.07
381,John Brooks,USA,DF,Wolfsburg,Bundesliga,29,1993,31,0.07,0,0,0.03,0.41,0.07,0.03
382,Daniel Brosinski,GER,DF,Mainz 05,Bundesliga,33,1988,11,0,0,0,0,0.23,0,0
383,Josh Brownhill,ENG,MF,Burnley,Premier League,26,1995,35,0.3,0,0,0.06,0.88,0.27,0.09
384,Marcelo Brozovi?,CRO,MF,Inter,Serie A,29,1992,35,0.21,0,0,0.06,0.98,0.4,0.03
385,Cédric Brunner,SUI,DF,Arminia,Bundesliga,28,1994,27,0.25,0,0,0,0.41,0,0.04
386,Lewis Brunt,ENG,MF,Leicester City,Premier League,21,2000,1,0,0,0,0,0,0,0
387,Jacob Bruun Larsen,DEN,FWMF,Hoffenheim,Bundesliga,23,1998,25,0.11,0,0,0.44,2,0.78,0
388,Bryan,ESP,MFFW,Valencia,La Liga,21,2001,13,0.36,0,0,0,1.31,0.24,0.12
389,Bryan,ESP,FWMF,Tottenham,Premier League,21,2001,9,0,0,0,0,1,1,0
390,Ante Budimir,CRO,FW,Osasuna,La Liga,30,1991,28,0.16,0,0,0.41,2.28,0.93,0.1
391,Emi Buendía,ARG,FWMF,Aston Villa,Premier League,25,1996,35,0.05,0,0,0.19,2.09,0.66,0.28
392,Osman Bukari,GHA,FWMF,Nantes,Ligue 1,23,1998,24,0.09,0,0,0.18,1.79,0.8,0.36
393,Aleksander Buksa,POL,FW,Genoa,Serie A,19,2003,4,0,0,0,0,0,0,0
394,Alessandro Buongiorno,ITA,DF,Torino,Serie A,22,1999,23,0.38,0,0,0,0.38,0.08,0.08
395,Sascha Burchert,GER,GK,Greuther Fürth,Bundesliga,32,1989,14,0,0,0,0,0,0,0
396,Delano Burgzorg,NED,FW,Mainz 05,Bundesliga,23,1998,3,0,0,0,3.33,6.67,3.33,0
397,Jonathan Burkardt,GER,FWMF,Mainz 05,Bundesliga,21,2000,34,0,0,0,0.38,2.66,1.14,0.1
398,Roman Bürki,SUI,GK,Dortmund,Bundesliga,31,1990,1,0,0,0,0,0,0,0
399,Dan Burn,ENG,DF,Brighton,Premier League,30,1992,13,0.35,0,0,0.09,0.61,0.26,0
400,Dan Burn,ENG,DF,Newcastle Utd,Premier League,30,1992,16,0.25,0,0,0,0.69,0.06,0.06
401,Maxime Busi,BEL,DF,Reims,Ligue 1,22,1999,18,0.21,0,0,0.07,0.42,0.14,0
402,Gianluca Busio,USA,MF,Venezia,Serie A,20,2002,29,0.37,0,0,0.05,0.65,0.23,0.05
403,Oriol Busquets,ESP,MF,Clermont Foot,Ligue 1,23,1999,9,0,0,0,0,0.45,0,0
404,Sergio Busquets,ESP,MF,Barcelona,La Liga,33,1988,36,0.34,0,0,0.06,0.39,0.11,0
405,Jack Butland,ENG,GK,Crystal Palace,Premier League,29,1993,9,0,0,0,0,0,0,0
